frame, fps, time
407, 106.2473, 3.740403
408, 111.8443, 3.749344
409, 98.07767, 3.75954
410, 111.2966, 3.768525
411, 97.69441, 3.778761
412, 121.551, 3.786988
413, 107.1926, 3.796318
414, 102.2181, 3.806101
415, 106.9862, 3.815448
416, 102.02, 3.82525
417, 100.3714, 3.835213
418, 121.9066, 3.843416
419, 116.2655, 3.852017
420, 92.94544, 3.862776
421, 106.8262, 3.872137
422, 104.8658, 3.881673
423, 105.3075, 3.891169
424, 113.6751, 3.899966
425, 95.38344, 3.91045
426, 105.8425, 3.919898
427, 97.5134, 3.930153
428, 108.1081, 3.939403
429, 125.7862, 3.947353
430, 106.2473, 3.956765
431, 128.4357, 3.964551
432, 113.2375, 3.973382
433, 95.048, 3.983903
434, 109.2419, 3.993057
435, 113.7786, 4.001846
436, 101.9888, 4.011651
437, 107.3422, 4.020967
438, 91.66743, 4.031876
439, 64.30869, 4.047426
440, 122.0256, 4.055621
441, 143.3692, 4.062596
442, 114.3641, 4.07134
443, 107.9564, 4.080603
444, 97.58954, 4.09085
445, 88.82572, 4.102108
446, 116.8634, 4.110665
447, 108.4599, 4.119885
448, 124.3008, 4.127931
449, 101.5641, 4.137777
450, 92.42144, 4.148597
451, 100.1803, 4.158579
452, 122.9256, 4.166714
453, 107.0435, 4.176056
454, 123.259, 4.184169
455, 104.9979, 4.193693
456, 108.5776, 4.202903
457, 113.7656, 4.211693
458, 95.38344, 4.222177
459, 110.9755, 4.231188
460, 116.198, 4.239794
461, 101.9368, 4.249604
462, 102.1868, 4.25939
463, 125.6281, 4.26735
464, 95.50186, 4.277821
465, 123.1375, 4.285942
466, 107.0893, 4.29528
467, 90.71117, 4.306304
468, 128.3862, 4.314093
469, 103.4661, 4.323758
470, 98.41551, 4.333919
471, 109.3255, 4.343066
472, 104.2535, 4.352658
473, 104.4714, 4.36223
474, 109.0394, 4.371401
475, 112.6634, 4.380277
476, 91.24088, 4.391237
477, 104.1775, 4.400836
478, 96.53442, 4.411195
479, 113.0071, 4.420044
480, 83.43763, 4.432029
481, 134.4628, 4.439466
482, 135.9989, 4.446819
483, 90.49773, 4.457869
484, 118.7085, 4.466293
485, 107.5616, 4.47559
486, 117.1783, 4.484124
487, 104.723, 4.493673
488, 99.28515, 4.503745
489, 115.1941, 4.512426
490, 113.135, 4.521265
491, 103.3699, 4.530939
492, 108.7075, 4.540138
493, 116.3873, 4.54873
494, 100.4621, 4.558684
495, 109.1941, 4.567842
496, 106.8947, 4.577198
