frame, fps, time
398, 101.7087, 4.161227
399, 89.34155, 4.17242
400, 71.2606, 4.186452
401, 134.5352, 4.193885
402, 92.6269, 4.204681
403, 99.0099, 4.214781
404, 97.94319, 4.224991
405, 95.37434, 4.235476
406, 100.3512, 4.245441
407, 96.86168, 4.255765
408, 96.59969, 4.266118
409, 97.4279, 4.276381
410, 94.21519, 4.286995
411, 100.5025, 4.296946
412, 95.05704, 4.307466
413, 95.7671, 4.317907
414, 101.6467, 4.327745
415, 93.04057, 4.338493
416, 96.28345, 4.348879
417, 99.06876, 4.358974
418, 85.84428, 4.370623
419, 100.1302, 4.38061
420, 96.16309, 4.391008
421, 96.302, 4.401392
422, 99.59167, 4.411434
423, 93.03191, 4.422183
424, 98.72643, 4.432312
425, 83.86447, 4.444235
426, 105.7865, 4.453688
427, 100.8878, 4.4636
428, 96.03381, 4.474013
429, 91.3242, 4.484963
430, 97.86651, 4.495182
431, 92.06408, 4.506043
432, 83.08408, 4.518079
433, 112.4733, 4.52697
434, 91.94557, 4.537847
435, 100.8369, 4.547763
436, 96.66505, 4.558108
437, 92.36169, 4.568935
438, 101.657, 4.578773
439, 90.22828, 4.589856
440, 90.79353, 4.60087
441, 86.16233, 4.612476
442, 82.76775, 4.624558
443, 92.28497, 4.635394
444, 97.1251, 4.64569
445, 88.73115, 4.65696
446, 92.2169, 4.667804
447, 80.39231, 4.680243
448, 85.10638, 4.691993
449, 119.3602, 4.700371
450, 97.97198, 4.710578
451, 91.29919, 4.721531
452, 93.79983, 4.732193
453, 95.13843, 4.742703
454, 82.74036, 4.754789
455, 94.33073, 4.76539
456, 89.89572, 4.776515
457, 85.12812, 4.788261
458, 88.12125, 4.799609
459, 90.85128, 4.810616
460, 87.86574, 4.821997
461, 88.80994, 4.833257
462, 92.53262, 4.844064
463, 99.12768, 4.854152
464, 99.89012, 4.864163
465, 96.31128, 4.874547
466, 81.47967, 4.886819
467, 113.2759, 4.895648
468, 95.16559, 4.906156
469, 96.5717, 4.916511
470, 91.33254, 4.92746
471, 93.05788, 4.938206
472, 95.54749, 4.948672
473, 97.91442, 4.958885
474, 93.54537, 4.969575
475, 100.2607, 4.979549
476, 91.53318, 4.990474
477, 91.07468, 5.001454
478, 96.48784, 5.011818
479, 90.27715, 5.022895
480, 92.80743, 5.03367
481, 89.6218, 5.044828
482, 96.0984, 5.055234
483, 96.32056, 5.065616
484, 96.9744, 5.075928
485, 88.63676, 5.08721
486, 98.1258, 5.097401
487, 92.18289, 5.108249
488, 86.91118, 5.119755
489, 99.59167, 5.129797
490, 93.39684, 5.140503
491, 93.5979, 5.151187
492, 98.54159, 5.161335
493, 92.04713, 5.172199
494, 94.36633, 5.182796
495, 70.93708, 5.196894
496, 85.77065, 5.208553
497, 87.57334, 5.219972
498, 98.59988, 5.230114
499, 94.86766, 5.240654
500, 92.37022, 5.251481
501, 98.80447, 5.261601
502, 86.08074, 5.273219
503, 91.65903, 5.284129
504, 98.75568, 5.294255
505, 92.74717, 5.305037
506, 90.93389, 5.316033
507, 97.4279, 5.326297
508, 94.04684, 5.33693
509, 99.01971, 5.347029
510, 84.79607, 5.358822
511, 105.3408, 5.368315
512, 96.49715, 5.378678
513, 78.72776, 5.39138
514, 104.734, 5.400928
515, 98.91197, 5.411038
516, 91.58348, 5.421957
517, 94.9307, 5.432491
518, 94.58949, 5.443063
519, 91.36592, 5.454008
520, 97.81864, 5.464231
521, 86.53513, 5.475787
522, 88.67606, 5.487064
523, 98.68745, 5.497197
524, 93.8879, 5.507848
525, 47.50143, 5.5289
526, 102.3018, 5.538675
527, 94.91268, 5.549212
528, 96.8523, 5.559536
529, 93.18796, 5.570268
530, 98.32841, 5.580438
531, 88.99964, 5.591674
532, 92.09799, 5.602532
533, 96.45061, 5.6129
534, 89.06306, 5.624128
535, 87.91982, 5.635502
536, 90.99181, 5.646492
537, 95.73042, 5.656938
538, 91.18264, 5.667905
539, 90.05764, 5.679009
540, 97.61812, 5.689253
541, 92.1659, 5.700103
542, 97.46589, 5.710363
543, 90.70295, 5.721388
544, 93.53662, 5.732079
545, 97.20062, 5.742367
546, 90.84303, 5.753375
547, 97.11566, 5.763671
548, 91.68424, 5.774579
549, 92.49838, 5.785389
550, 96.9744, 5.795702
551, 83.56313, 5.807669
552, 95.7671, 5.81811
553, 94.75081, 5.828664
554, 90.14694, 5.839757
555, 93.02325, 5.850507
556, 95.46539, 5.860982
557, 89.46144, 5.87216
558, 94.30404, 5.882764
559, 96.9462, 5.893079
560, 90.96698, 5.904072
561, 92.84189, 5.914843
562, 94.46439, 5.925429
563, 91.81893, 5.93632
564, 85.38251, 5.948032
565, 97.53243, 5.958285
566, 90.24456, 5.969366
567, 95.40164, 5.979848
568, 92.39582, 5.990671
569, 91.0581, 6.001653
570, 93.75586, 6.012319
571, 93.50163, 6.023014
572, 91.91177, 6.033894
573, 95.20183, 6.044397
574, 90.43227, 6.055455
575, 72.85444, 6.069181
576, 105.2521, 6.078682
577, 91.68424, 6.08959
578, 93.91435, 6.100237
579, 95.41074, 6.110718
580, 88.27683, 6.122046
581, 89.41344, 6.133231
582, 91.47457, 6.144163
583, 81.02415, 6.156505
584, 86.10298, 6.168118
585, 93.72071, 6.178789
586, 83.04958, 6.19083
587, 92.66123, 6.201622
588, 94.28625, 6.212227
589, 92.19989, 6.223073
590, 91.98785, 6.233944
591, 96.3484, 6.244323
592, 88.31582, 6.255646
593, 95.48363, 6.266119
594, 95.57488, 6.276582
595, 85.94757, 6.288217
596, 91.1577, 6.299187
597, 91.44947, 6.310122
598, 89.33357, 6.321316
599, 93.19665, 6.332046
600, 94.54477, 6.342623
